TZ_2013,1st,2nd,3rd,4th
1001,1607,1960,2117,274
1002,1111,2223,356,178
1003,1115,3676,1363,867
1004,1847,739,1055,1689
1005,3718,0,0,0
1006,704,0,78,900
1007,0,0,0,0
1008,278,1807,69,834
1009,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1012,576,4139,900,216
1013,56,1434,1574,534
1014,228,799,685,685
1015,160,833,929,128
1016,690,1108,598,409
1017,0,133,133,299
1018,0,0,0,0
1019,0,0,0,0
1020,0,0,0,0
1021,0,0,0,0
1022,0,0,0,0
1023,0,0,0,0
1024,0,367,0,0
1025,0,196,626,156
1026,328,526,284,194
1101,1512,1841,66,0
1102,115,211,51,11
1103,586,1069,260,54
1104,816,2558,1088,544
1105,21,39,10,2
1106,175,319,78,16
1107,409,6138,327,0
1108,0,0,0,0
1109,3463,0,1299,0
1110,4017,3331,980,0
1111,1279,3164,236,269
1112,0,1724,259,431
1113,368,1150,1058,92
1114,0,205,0,0
1115,568,3020,542,361
1116,581,2198,1244,166
1117,1119,1959,480,280
1118,92,167,41,8
1119,2824,2728,1149,0
1120,440,928,366,147
1121,1192,1324,177,309
1122,446,2510,390,0
1123,307,1381,537,0
1124,1364,2941,1492,0
1125,4805,6017,43,0
1126,1193,4001,772,0
1127,769,0,0,0
1128,1802,4309,509,78
1129,0,0,0,0
1201,0,0,0,0
1202,0,0,0,0
1203,4641,7258,238,0
1204,5300,8888,0,0
1205,4204,6943,0,0
1206,9647,10773,211,0
1207,18253,7178,124,186
1208,5165,8362,205,287
1209,246,257,4,2
1210,24,25,0,0
1211,0,0,0,0
1301,1983,6777,178,148
1302,2216,7562,0,0
1303,518,919,71,188
1304,76,332,33,0
1305,18,1594,501,0
1306,486,711,75,0
1307,942,1270,0,0
1308,0,0,0,0
1309,137,1191,0,0
1310,32,759,258,242
1311,110,1011,352,66
1312,332,929,763,282
1313,1031,5888,166,0
1314,0,0,0,0
1315,0,0,0,0
1316,41,532,48,48
1317,303,791,76,26
1318,403,714,55,146
1319,328,582,45,119
1320,181,789,79,0
1321,330,1435,144,0
1322,0,0,0,0
1323,131,568,57,0
1324,19,1668,525,0
1325,0,0,0,0
1326,516,754,79,0
1327,728,1065,112,0
1328,212,310,33,0
1329,558,815,86,0
1330,485,709,75,0
1331,584,853,90,0
1332,783,1145,121,0
1333,668,976,103,0
1334,445,651,69,0
1335,288,421,44,0
1336,430,629,66,0
1337,377,551,58,0
1338,0,0,0,0
1339,0,0,0,0
1340,552,806,85,0
1341,0,0,0,0
1342,0,0,0,0
1343,0,0,0,0
1344,721,972,0,0
1345,568,765,0,0
1346,465,626,0,0
1347,531,716,0,0
1348,566,764,0,0
1349,468,632,0,0
1350,749,1009,0,0
1351,0,0,0,0
1352,425,594,0,0
1353,708,988,0,0
1354,284,396,0,0
1355,358,499,0,0
1356,0,0,0,0
1357,0,0,0,0
1358,0,0,0,0
1359,0,0,0,0
1360,0,0,0,0
1361,523,730,0,0
1362,191,1668,0,0
1363,18,421,143,134
1364,17,396,135,126
1365,31,287,100,19
1366,51,466,162,30
1367,55,503,175,33
1368,90,252,207,77
1369,77,214,176,65
1370,63,176,145,54
1371,36,458,42,42
1372,74,956,87,87
1373,67,864,79,79
1401,0,479,915,218
1402,760,3419,326,488
1403,230,691,230,115
1404,48,1503,517,485
1405,151,433,282,132
1406,176,923,659,264
1407,249,349,25,0
1408,168,647,156,0
1409,0,277,115,78
1410,77,427,123,61
1411,196,1453,205,62
1412,0,924,424,0
1413,32,1174,54,119
1414,233,700,233,117
1415,34,1052,362,339
1416,77,220,143,67
1417,240,691,451,210
1418,111,581,415,166
1419,66,347,248,99
1420,66,344,246,98
1421,280,393,28,0
1422,522,731,52,0
1423,310,435,31,0
1424,283,1091,263,0
1425,222,857,206,0
1426,83,322,78,0
1427,0,760,315,213
1428,0,565,234,159
1429,0,669,277,188
1430,0,1165,483,327
1431,41,230,66,33
1432,0,0,0,0
1433,166,1227,173,53
1434,46,340,48,15
1435,117,864,122,37
1436,114,848,120,36
1437,37,274,39,12
1438,0,0,0,0
1439,0,427,196,0
1440,32,1148,53,116
1441,51,1840,84,186
1442,256,358,26,0
1443,172,241,17,0
1501,61,872,199,429
