TZ_2013,Office,Retail,Manufacturing,Service,Warehouse,Community,Construction,Transport,Parking,Recreation,Personel (School),Scholars (School),Personel (Tertiary),Student (Tertiary),Agricultural
1001,1598,0,717,278,198,0,1380,237,722,397,431,1330,161,603,242
1002,1353,0,225,89,235,0,502,133,613,229,489,1003,53,137,4
1003,2278,167,763,83,165,0,2161,262,470,343,330,1993,184,721,86
1004,1515,0,475,53,51,0,1610,368,469,368,422,1015,27,475,58
1005,930,0,254,85,254,0,1352,85,85,423,254,6,17,0,1
1006,227,39,540,0,0,0,344,141,156,156,78,44,39,352,0
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,1414,117,75,0,0,33,509,117,517,67,139,1379,133,75,1
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,2141,145,482,151,73,0,1347,36,739,286,432,1945,177,454,151
1013,1804,55,313,26,27,0,303,117,304,227,422,1804,56,314,28
1014,548,63,405,57,177,0,685,57,0,177,228,548,67,405,57
1015,993,96,96,32,64,0,192,0,256,128,192,995,97,96,32
1016,934,41,277,55,77,4,643,98,276,187,213,765,39,234,43
1017,147,0,117,0,0,0,57,33,33,77,100,149,0,117,0
1018,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,0,0,0,0,0,0,0,0,0,0,0,10,7,38,49
1024,171,0,0,24,24,0,24,0,73,49,0,193,0,23,40
1025,313,0,117,39,0,39,156,39,117,156,0,363,23,117,39
1026,444,20,132,26,36,2,305,47,131,89,101,363,21,111,20
1101,1185,239,200,368,97,35,166,69,562,203,296,899,288,107,199
1102,138,11,24,20,19,3,58,14,52,15,35,206,738,2221,226
1103,699,57,123,99,99,15,294,70,263,74,175,556,42,85,100
1104,2110,54,115,351,290,0,647,236,659,0,544,1888,62,216,253
1105,26,2,4,4,4,1,11,3,10,3,6,65,11,2065,728
1106,209,17,37,30,29,5,88,21,78,22,52,307,150,3291,1176
1107,2629,363,138,408,276,0,710,0,1225,184,941,2549,330,138,368
1108,0,0,0,0,0,0,0,0,0,0,0,41,5,597,44
1109,1670,0,959,0,0,0,742,247,247,464,433,559,292,228,55
1110,3223,148,493,396,445,0,748,543,1344,398,588,2033,250,233,182
1111,1594,204,270,204,136,34,1017,68,779,272,370,1305,287,207,221
1112,895,59,194,97,172,23,253,79,325,145,172,930,64,194,97
1113,1415,0,129,82,44,0,400,88,377,41,92,1363,40,130,86
1114,0,0,0,0,0,0,205,0,0,0,0,146,532,11,115
1115,1912,164,192,116,264,0,630,125,565,239,284,1696,142,149,96
1116,1816,0,252,0,86,45,1004,169,559,214,41,1650,22,211,1
1117,1329,0,394,79,0,38,950,150,543,75,280,1055,13,233,45
1118,109,9,19,16,15,2,46,11,41,12,27,128,7,13,11
1119,2701,144,771,145,145,145,821,244,769,194,622,1630,151,480,100
1120,351,0,266,155,106,24,538,53,265,0,122,204,0,266,106
1121,1222,39,119,210,118,16,365,50,313,241,309,625,56,119,68
1122,1077,57,398,0,340,0,624,169,513,57,112,974,138,409,14
1123,537,307,281,179,0,0,358,179,0,0,384,518,340,290,199
1124,2246,0,325,360,172,39,491,599,720,78,767,1914,63,366,410
1125,2718,512,182,1050,1233,319,1739,277,1182,182,1472,1803,347,136,542
1126,1882,457,188,377,374,0,885,154,1139,193,316,1779,433,188,325
1127,99,99,0,99,198,0,99,0,0,99,77,7,33,0,8
1128,2342,0,274,280,443,39,1324,0,1040,407,548,1935,36,345,241
1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,0,0,0,0,0,0,0,0,0,0,0,256,11,3867,877
1202,0,0,0,0,0,0,0,0,0,0,0,74,30,917,639
1203,4836,0,123,3005,1488,0,250,0,1003,123,1309,3573,26,123,1236
1204,4757,120,42,980,1996,311,1691,120,1386,992,1794,3684,90,43,586
1205,2177,182,546,727,1593,182,1458,0,1768,956,1559,1718,141,316,497
1206,5689,0,910,772,2452,630,3781,282,3161,1194,1760,3878,38,282,422
1207,8674,937,1694,882,7813,0,1008,566,1503,310,2351,3742,385,429,123
1208,3800,824,163,1687,2392,365,903,369,2369,0,1148,2891,381,122,855
1209,156,11,18,42,92,8,47,7,58,19,52,102,5,7,19
1210,15,1,2,4,9,1,5,1,6,2,5,176,13,2301,185
1211,0,0,0,0,0,0,0,0,0,0,0,216,23,4543,830
1301,2614,414,148,957,947,148,977,59,1371,473,977,2353,389,148,653
1302,2819,184,314,976,580,468,893,95,930,883,1638,2330,160,190,523
1303,481,120,167,48,144,0,261,94,145,48,188,421,136,143,52
