Name;Total_Trav;Total_Leng;Shape_Leng;Origin;Dest;Time
1001 - 1001;0.0;0.0;0.0;1001;1001;0:00:00
1001 - 1012;17.857221019897658;1428.577681591812;1125.8235091311792;1001;1012;0:00:00
1001 - 1015;22.826587714617414;1826.1270171693927;1376.8764727564997;1001;1015;0:00:00
1001 - 1002;25.58988562082584;2047.190849666067;1252.5097632182947;1001;1002;0:00:00
1001 - 1013;25.978052317506286;2078.244185400503;1456.3699187932025;1001;1013;0:00:00
1001 - 1024;29.489518989953734;2359.161519196298;1942.4294437283288;1001;1024;0:00:00
1001 - 5507;32.653504894324065;2612.280391545925;2063.5258314333882;1001;5507;0:00:00
1001 - 5555;37.95848544289275;3036.6788354314203;1002.5702083304793;1001;5555;0:00:00
1001 - 1011;38.98454893789656;3118.763915031725;2475.050585753333;1001;1011;0:00:00
1001 - 1010;40.38565597559169;3230.8524780473354;2363.9982396661967;1001;1010;0:00:00
1001 - 5518;40.93691228962121;3274.9529831696955;2778.5225103304797;1001;5518;0:00:00
1001 - 5554;41.79709472434908;3343.767577947927;1224.1985110354458;1001;5554;0:00:00
1001 - 1007;43.21417218414094;3457.1337747312737;1954.3436296597376;1001;1007;0:00:00
1001 - 5553;43.38218847130174;3470.575077704139;1648.8673857657966;1001;5553;0:00:00
1001 - 5517;43.773105529353415;3501.848442348273;2215.745584974392;1001;5517;0:00:00
1001 - 5560;45.4780814576373;3638.2465166109832;2114.2097800547917;1001;5560;0:00:00
1001 - 1018;47.08358341741104;3766.686673392884;2849.8369570565364;1001;1018;0:00:00
1001 - 1014;48.72554006760165;3898.0432054081316;2390.426547194506;1001;1014;0:00:00
1001 - 5524;48.79489370848274;3903.5914966786213;1958.7974638169062;1001;5524;0:00:00
1001 - 5511;49.88524959162037;3990.8199673296294;2659.3027423940566;1001;5511;0:00:00
1001 - 5549;51.07869693187337;4086.295754549869;3155.6767895627013;1001;5549;0:00:00
1001 - 5550;51.18592290665771;4094.8738325326153;2677.1476506725826;1001;5550;0:00:00
1001 - 5551;52.042791917188644;4163.423353375091;2740.9182140879816;1001;5551;0:00:00
1001 - 5506;52.79613365577347;4223.690692461878;1448.393138237466;1001;5506;0:00:00
1001 - 5561;53.09341782094832;4247.473425675864;2479.166350434467;1001;5561;0:00:00
1001 - 1019;53.92755035352104;4314.204028281682;3569.3891545684837;1001;1019;0:00:00
1001 - 5552;54.42538947234047;4354.0311577872335;2717.512807709621;1001;5552;0:00:00
1001 - 5508;54.479903595043965;4358.392287603516;3492.560167521326;1001;5508;0:00:00
1001 - 5614;54.70120960917455;4376.096768733962;2962.612971848021;1001;5614;0:00:00
1001 - 1008;54.92979191825339;4394.38335346027;3692.1293213073805;1001;1008;0:00:00
1001 - 5519;56.21909322212225;4497.527457769779;3409.7465092989837;1001;5519;0:00:00
1001 - 1005;57.002696396527156;4560.215711722172;3030.9682572974993;1001;1005;0:00:00
1001 - 5516;57.466807055849884;4597.3445644679905;3019.1684067330743;1001;5516;0:00:00
1001 - 1129;57.617380084129906;4609.390406730392;2738.638171375815;1001;1129;0:00:00
1001 - 5548;57.76698695543618;4621.358956434895;3441.832127937122;1001;5548;0:00:00
1001 - 5521;57.89996778792402;4631.997423033921;2390.9167799722845;1001;5521;0:00:00
1001 - 5562;58.206779739241455;4656.542379139316;2967.6466055491605;1001;5562;0:00:00
1001 - 5520;58.46762973435962;4677.4103787487675;3975.575862400637;1001;5520;0:00:00
1001 - 5547;59.11608466218481;4729.286772974785;3874.8750176744315;1001;5547;0:00:00
1001 - 1003;59.79852351814678;4783.881881451741;2522.044145902499;1001;1003;0:00:00
1001 - 5556;59.984811209629285;4798.784896770344;2079.999350048404;1001;5556;0:00:00
1001 - 5522;60.297941790175884;4823.835343214071;1840.9771896269074;1001;5522;0:00:00
1001 - 1020;60.8061414242479;4864.491313939831;4444.251690986423;1001;1020;0:00:00
1001 - 1116;61.08475073698046;4886.780058958435;3374.138201553991;1001;1116;0:00:00
1001 - 5534;61.270405031837775;4901.63240254702;2832.50547536406;1001;5534;0:00:00
1001 - 1026;62.22678974532402;4978.143179625924;3568.379497441492;1001;1026;0:00:00
1001 - 5557;62.6806652642818;5014.45322114254;3069.4789936494835;1001;5557;0:00:00
1001 - 5559;62.83978184941346;5027.182547953076;3427.3151039821923;1001;5559;0:00:00
1001 - 5532;62.91142083697261;5032.913666957809;2435.60687420925;1001;5532;0:00:00
1001 - 5501;62.95370672554213;5036.29653804337;3110.756854063284;1001;5501;0:00:00
1001 - 5616;63.07562121297062;5046.04969703765;3698.880362989593;1001;5616;0:00:00
1001 - 1009;64.11194951222615;5128.955960978094;4626.85193935506;1001;1009;0:00:00
1001 - 5502;64.99104190077621;5199.283352062094;4091.1071513062648;1001;5502;0:00:00
1001 - 5537;65.65188904672618;5252.151123738094;3557.237326369289;1001;5537;0:00:00
1001 - 5564;66.01942388363457;5281.55391069077;4005.501912698244;1001;5564;0:00:00
1001 - 5523;67.04093944432972;5363.275155546377;1517.8170202877052;1001;5523;0:00:00
1001 - 1025;68.23143371578412;5458.514697262729;4134.639425628264;1001;1025;0:00:00
1001 - 1115;68.36849543531962;5469.479634825569;4041.1883250953715;1001;1115;0:00:00
1001 - 5536;68.56158819252924;5484.927055402337;3551.849834192934;1001;5536;0:00:00
1001 - 5565;68.8481509815105;5507.852078520838;4693.761057065213;1001;5565;0:00:00
1001 - 5538;69.0619669071686;5524.95735257349;3893.15708205301;1001;5538;0:00:00
1001 - 5539;69.64316238606493;5571.452990885194;4465.032760472254;1001;5539;0:00:00
1001 - 5535;69.82668400302548;5586.134720242037;3380.734401189159;1001;5535;0:00:00
1001 - 1004;70.45234034871277;5636.187227897018;3853.2875294016917;1001;1004;0:00:00
1001 - 5546;70.48077174556484;5638.4617396451895;4362.262690804281;1001;5546;0:00:00
1001 - 5530;70.77784060455423;5662.227248364338;2733.500888795334;1001;5530;0:00:00
1001 - 5509;70.90223521441158;5672.178817152929;4554.374708181458;1001;5509;0:00:00
1001 - 1114;71.6587968558047;5732.703748464376;3608.4691445996955;1001;1114;0:00:00
1001 - 5531;72.36042161665726;5788.83372933258;2449.3771182388127;1001;5531;0:00:00
1001 - 5533;73.49664373757659;5879.73149900612;3152.846328840854;1001;5533;0:00:00
1001 - 5525;73.76778966958106;5901.42317356648;2782.831577459927;1001;5525;0:00:00
1001 - 5957;73.80550740385502;5904.440592308404;3876.2933661428365;1001;5957;0:00:00
1001 - 1006;75.63905471297751;6051.1243770382;4580.770741723184;1001;1006;0:00:00
1001 - 5615;75.90259820805448;6072.207856644361;4179.931473642572;1001;5615;0:00:00
1001 - 5949;76.50338168204814;6120.270534563854;4489.31572448428;1001;5949;0:00:00
1001 - 1016;76.93096996856656;6154.47759748532;2528.9649311419344;1001;1016;0:00:00
1001 - 5503;77.34100949202006;6187.280759361606;4904.385816376073;1001;5503;0:00:00
1001 - 5558;77.73570684484083;6218.8565475872665;4656.216296265212;1001;5558;0:00:00
1001 - 5617;77.80066339832462;6224.053071865969;4698.22525374492;1001;5617;0:00:00
1001 - 5526;78.12214244052178;6249.771395241743;4210.914695286412;1001;5526;0:00:00
1001 - 1128;79.37704975510037;6350.163980408028;4726.445970236746;1001;1128;0:00:00
1001 - 5505;79.46449104743827;6357.159283795062;5064.749129154072;1001;5505;0:00:00
1001 - 1117;80.1886777187374;6415.094217498993;4298.122142161748;1001;1117;0:00:00
1001 - 1021;81.49351214670659;6519.480971736526;5173.652121392759;1001;1021;0:00:00
1001 - 5956;81.71396116228381;6537.116892982706;3874.8280694253735;1001;5956;0:00:00
1001 - 5540;81.79284524016556;6543.42761921324;5225.583341672662;1001;5540;0:00:00
1001 - 5901;82.47934005329779;6598.347204263823;4509.3188827724325;1001;5901;0:00:00
1001 - 1109;84.38617419933145;6750.893935946511;5342.364670710077;1001;1109;0:00:00
1001 - 5515;84.70290886695956;6776.232709356759;4152.048002239977;1001;5515;0:00:00
1001 - 5611;84.90259546772226;6792.207637417783;5602.7932349174025;1001;5611;0:00:00
1001 - 1017;85.01524157037875;6801.219325630302;5180.306123511305;1001;1017;0:00:00
1001 - 5510;85.04236352861409;6803.389082289128;3095.858075208063;1001;5510;0:00:00
1001 - 1023;85.44215535422087;6835.372428337672;5684.164926062107;1001;1023;0:00:00
1001 - 5514;85.75178267294709;6860.142613835767;5490.8313265238;1001;5514;0:00:00
1001 - 5613;85.95220555188914;6876.17644415113;5662.511830512299;1001;5613;0:00:00
1001 - 5935;86.24550812247665;6899.640649798135;4935.144323469746;1001;5935;0:00:00
1001 - 5612;86.91394275683321;6953.115420546656;5083.084879177217;1001;5612;0:00:00
1001 - 5947;87.81602625764454;7025.282100611566;5209.670669913642;1001;5947;0:00:00
1001 - 1022;88.12509756022011;7050.007804817607;5502.628443451474;1001;1022;0:00:00
1001 - 5955;88.41945580719478;7073.556464575583;4186.500116017252;1001;5955;0:00:00
1001 - 1118;88.42284412681035;7073.827530144826;4523.060331610689;1001;1118;0:00:00
1001 - 5541;90.34885205804078;7227.908164643258;5826.700925884228;1001;5541;0:00:00
1001 - 1110;90.61783771360015;7249.427017088012;5133.846019898957;1001;1110;0:00:00
1001 - 5528;91.13475169829837;7290.7801358638635;4375.9911597663695;1001;5528;0:00:00
1001 - 1957;92.17889584450293;7374.311667560236;5119.585251601208;1001;1957;0:00:00
1001 - 5952;92.32017151928636;7385.613721542912;5163.928147149684;1001;5952;0:00:00
1001 - 5948;92.44955859393785;7395.964687515032;5478.489192660138;1001;5948;0:00:00
1001 - 5563;92.78752710579852;7423.002168463884;5303.901618408445;1001;5563;0:00:00
1001 - 5504;93.44551688061779;7475.641350449418;6018.703402795072;1001;5504;0:00:00
1001 - 1119;93.51270071494301;7481.016057195442;5323.7756402394925;1001;1119;0:00:00
1001 - 5618;93.74844067522345;7499.875254017875;6247.386597516892;1001;5618;0:00:00
1001 - 5954;94.36847265563783;7549.477812451027;4626.380965317644;1001;5954;0:00:00
1001 - 1113;95.00128103196131;7600.102482556908;4781.658889627645;1001;1113;0:00:00
1001 - 5542;95.27195423612028;7621.756338889624;6098.837863663603;1001;5542;0:00:00
1001 - 1127;95.35784946309737;7628.627957047789;6034.146920331347;1001;1127;0:00:00
1001 - 5628;96.15080688540036;7692.064550832027;6406.26187606843;1001;5628;0:00:00
1001 - 5527;96.81626119613891;7745.30089569111;4719.8643850457365;1001;5527;0:00:00
1001 - 5951;96.88251616028944;7750.601292823156;5595.3331224332205;1001;5951;0:00:00
1001 - 5950;97.82944477114788;7826.355581691832;5243.476894141049;1001;5950;0:00:00
1001 - 1120;98.131498930324;7850.51991442592;5571.671290165873;1001;1120;0:00:00
1001 - 4402;98.93139151125213;7914.511320900172;5864.684075387305;1001;4402;0:00:00
1001 - 4401;99.47985327586493;7958.388262069198;5349.441262670001;1001;4401;0:00:00
1001 - 5604;99.60044000475338;7968.035200380274;6451.914000755654;1001;5604;0:00:00
1001 - 5936;99.65374199270813;7972.299359416653;5649.3420372767605;1001;5936;0:00:00
1001 - 1126;99.71032821145405;7976.826256916321;6080.348169053069;1001;1126;0:00:00
1001 - 1111;100.1516261506415;8012.130092051324;5860.840709910944;1001;1111;0:00:00
1001 - 5934;101.41972454221913;8113.57796337753;5982.828701699754;1001;5934;0:00:00
1001 - 5543;101.59690510714205;8127.752408571364;6590.840235006378;1001;5543;0:00:00
1001 - 5953;101.64868458524404;8131.894766819522;5069.331859554091;1001;5953;0:00:00
1001 - 5944;101.77595560571268;8142.0764484570145;5933.513667528234;1001;5944;0:00:00
1001 - 5946;101.86835355955157;8149.468284764127;5801.754944214253;1001;5946;0:00:00
1001 - 1121;102.3143645769717;8185.149166157735;6050.3440692576905;1001;1121;0:00:00
1001 - 4404;103.50238756764472;8280.19100541158;7050.000693528225;1001;4404;0:00:00
1001 - 5529;103.79737274834393;8303.78981986751;4245.718844572124;1001;5529;0:00:00
1001 - 5902;104.05564348037502;8324.451478430003;5650.652718246962;1001;5902;0:00:00
1001 - 5545;104.0947588429212;8327.580707433692;7281.870266933404;1001;5545;0:00:00
1001 - 4403;104.25320553034125;8340.256442427302;6396.6279090985145;1001;4403;0:00:00
1001 - 5941;104.7084749719404;8376.677997755232;5951.927237660968;1001;5941;0:00:00
1001 - 1108;105.32686337923144;8426.149070338515;6682.511735425777;1001;1108;0:00:00
1001 - 5989;106.12773867268423;8490.21909381474;5505.432452861573;1001;5989;0:00:00
1001 - 1202;106.13491496982674;8490.79319758614;7288.444105330423;1001;1202;0:00:00
1001 - 5942;106.35515358312227;8508.412286649786;6250.1393415717175;1001;5942;0:00:00
1001 - 1101;107.35220266364874;8588.176213091898;6463.008324412777;1001;1101;0:00:00
1001 - 5923;107.3589514926375;8588.716119411003;6153.622583405;1001;5923;0:00:00
1001 - 5943;107.38844880262951;8591.075904210367;6103.315004806967;1001;5943;0:00:00
1001 - 1930;107.64037268491279;8611.229814793025;6311.248849376651;1001;1930;0:00:00
1001 - 1106;107.68237442625149;8614.589954100118;6214.379303228826;1001;1106;0:00:00
1001 - 5610;108.24415447755398;8659.53235820432;7028.391405941834;1001;5610;0:00:00
1001 - 1107;108.57788376399066;8686.230701119246;6567.182149653727;1001;1107;0:00:00
1001 - 5940;108.59177909519131;8687.342327615308;6188.716069881632;1001;5940;0:00:00
1001 - 5933;108.96231766115127;8716.985412892109;6460.935246139633;1001;5933;0:00:00
1001 - 5512;109.2932267505352;8743.458140042814;5736.003153724486;1001;5512;0:00:00
1001 - 5209;109.34356972319179;8747.485577855337;7057.602626890501;1001;5209;0:00:00
1001 - 5513;109.57026261857284;8765.621009485827;7215.264937896723;1001;5513;0:00:00
1001 - 5945;110.06924140510763;8805.539312408613;6372.787989250925;1001;5945;0:00:00
1001 - 1112;110.7866973478842;8862.935787830733;6785.86793707153;1001;1112;0:00:00
1001 - 1122;110.87629324123851;8870.103459299084;6434.154098719727;1001;1122;0:00:00
1001 - 5938;111.46311940148242;8917.049552118593;6541.70284859948;1001;5938;0:00:00
1001 - 5969;111.65482635956104;8932.386108764884;6611.519068915937;1001;5969;0:00:00
