TZ2013,Black_African_%,White_%,Coloured_%,Indian_or_Asian_%,Other_%
1001,15.6,65.4,15.8,1.5,1.7
1002,10.8,69.7,16.5,1.4,1.6
1003,7.8,71.2,13.7,5.2,2.1
1004,8.6,68.7,15.5,4.9,2.2
1005,8,70.7,13.9,5.2,2.1
1006,8.3,70.4,14.2,5.1,2.1
1007,22.9,45.5,29.5,1.1,1.1
1008,39.4,33,24.8,1.1,1.7
1009,36.8,33.9,26.9,0.9,1.5
1010,25.1,41.5,31.3,1,1
1011,27.7,40.8,29,1.3,1.2
1012,12,66.9,18.5,1.2,1.4
1013,8.8,72,16.1,1.6,1.5
1014,8,70.9,14.1,4.9,2.1
1015,23.8,54.2,18,1.9,2
1016,9,70.9,16.8,1.8,1.6
1017,9.8,68.2,15.4,4.3,2.3
1018,25.7,40.9,31.3,1,1
1019,27.6,39.6,30.7,1,1.1
1020,29,38.7,30.1,1,1.2
1021,26.2,40.4,31.4,1,1
1022,39.4,32.3,25.9,0.8,1.6
1023,26.2,40.4,31.4,1,1
1024,13.6,62.6,20.5,1.5,1.7
1025,10,67.3,16,4.7,2
1026,18.9,52,25.2,2.6,1.4
1101,15.9,23.4,55.1,2.1,3.7
1102,19.2,20.3,54.4,1.5,4.6
1103,18.9,20.3,54.7,1.5,4.6
1104,18,18.2,57.6,1.9,4.3
1105,13.2,16.7,64.6,2.5,3.1
1106,15,24.5,54.9,2.4,3.2
1107,5.8,10.2,81.9,0.7,1.5
1108,6.5,10.9,80.3,0.8,1.5
1109,15.6,34.9,44,3.1,2.5
1110,17.6,41.3,34.6,3.7,2.8
1111,15.3,29,50.1,2.3,3.3
1112,14.4,56.2,24.3,2.2,2.8
1113,14.1,55.2,25.8,2.3,2.7
1114,10,64.7,18.4,4.7,2.3
1115,17,42.3,34.4,3.7,2.7
1116,8.4,69.2,15.2,5.1,2.2
1117,17,44,32.5,3.8,2.7
1118,14.6,27.8,51.9,2.4,3.3
1119,14.9,39.5,40.3,2.3,3
1120,13.9,62.5,18.8,2.3,2.5
1121,15,54.9,25.1,2.1,2.9
1122,17.8,31.3,45.1,1.7,4
1123,19.1,22.8,52.1,1.5,4.5
1124,14,17.4,62.6,2.6,3.4
1125,12.9,16.6,65.6,1.9,3
1126,8,13.5,75.5,1.1,1.9
1127,7.7,12.5,77.2,0.9,1.6
1128,17.3,39.8,36.7,3.5,2.7
1129,10,64.2,22,2.1,1.7
1201,5.7,9.9,82.4,0.7,1.5
1202,31.7,33.9,28.4,3.3,2.7
1355,13.4,0.2,85.2,0.5,0.7
1356,13.5,0.2,85.1,0.5,0.7
1357,34.2,0.5,64,0.5,0.8
1358,30.7,0.4,67.5,0.5,0.8
1359,47.5,0.6,50.4,0.6,0.9
1360,37.8,0.5,60.2,0.6,0.9
1361,13.2,0.2,85.4,0.5,0.7
1362,3.4,0.4,90,4,2.2
1363,6.5,0.4,70.4,18.9,3.8
3065,2.6,0.1,96.2,0.4,0.6
3066,7.9,0.2,89.2,1,1.7
3067,5.1,0.2,92,1,1.7
3068,6.4,0.2,90.6,1,1.8
3069,6.9,0.3,90.1,1,1.7
